2022/11/05 - 12:37:23		auto	GETACK	Appliance.System.All	{"system": {"hardware": {"type": "mss310", "subType": "un", "version": "6.0.0", "chipType": "rtl8710cf", "uuid": "################################", "macAddress": "#################"}, "firmware": {"version": "6.1.12", "compileTime": "2022/05/26-15:39:26", "encrypt": 1, "wifiMac": "#################", "innerIp": "############", "server": "##################", "port": "###", "userId": "#######"}, "time": {"timestamp": 1663955383, "timezone": "Europe/London", "timeRule": [[1635642000, 0, 0], [1648342800, 3600, 1], [1667091600, 0, 0], [1679792400, 3600, 1], [1698541200, 0, 0], [1711846800, 3600, 1], [1729990800, 0, 0], [1743296400, 3600, 1], [1761440400, 0, 0], [1774746000, 3600, 1], [1792890000, 0, 0], [1806195600, 3600, 1], [1824944400, 0, 0], [1837645200, 3600, 1], [1856394000, 0, 0], [1869094800, 3600, 1], [1887843600, 0, 0], [1901149200, 3600, 1], [1919293200, 0, 0], [1932598800, 3600, 1]]}, "online": {"status": 1}}, "digest": {"togglex": [{"channel": 0, "onoff": 1, "lmTime": 0}], "triggerx": [], "timerx": []}}
2022/11/05 - 12:37:23		auto	GETACK	Appliance.System.Ability	{"Appliance.Config.Key": {}, "Appliance.Config.WifiList": {}, "Appliance.Config.Wifi": {}, "Appliance.Config.WifiX": {}, "Appliance.Config.Trace": {}, "Appliance.Config.Info": {}, "Appliance.System.All": {}, "Appliance.System.Hardware": {}, "Appliance.System.Firmware": {}, "Appliance.System.Debug": {}, "Appliance.System.Online": {}, "Appliance.System.Time": {}, "Appliance.System.Clock": {}, "Appliance.System.Ability": {}, "Appliance.System.Runtime": {}, "Appliance.System.Report": {}, "Appliance.System.Position": {}, "Appliance.System.DNDMode": {}, "Appliance.Control.Multiple": {"maxCmdNum": 5}, "Appliance.Control.ToggleX": {}, "Appliance.Control.TimerX": {"sunOffsetSupport": 1}, "Appliance.Control.TriggerX": {}, "Appliance.Control.Bind": {}, "Appliance.Control.Unbind": {}, "Appliance.Control.Upgrade": {}, "Appliance.Control.ConsumptionX": {}, "Appliance.Control.Electricity": {}, "Appliance.Control.ConsumptionConfig": {}, "Appliance.Digest.TriggerX": {}, "Appliance.Digest.TimerX": {}}
2022/11/05 - 12:37:23	TX	http	GET	Appliance.Config.Info	{"info": {}}
2022/11/05 - 12:37:26		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:37:28	TX	http	GET	Appliance.System.Runtime	{"runtime": {}}
2022/11/05 - 12:37:31		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:37:33	TX	http	GET	Appliance.System.Position	{"position": {}}
2022/11/05 - 12:37:36		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:37:38	TX	http	GET	Appliance.Control.ToggleX	{"togglex": []}
2022/11/05 - 12:37:41		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:37:43	TX	http	GET	Appliance.Control.TimerX	{"timerx": {}}
2022/11/05 - 12:37:46		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:37:48	TX	http	GET	Appliance.Control.TriggerX	{"triggerx": {}}
2022/11/05 - 12:37:51		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:37:53	TX	http	GET	Appliance.Control.ConsumptionX	{"consumptionx": []}
2022/11/05 - 12:37:56		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:37:58	TX	http	GET	Appliance.Control.Electricity	{"electricity": {}}
2022/11/05 - 12:38:01		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:38:03	TX	http	GET	Appliance.Control.ConsumptionConfig	{"consumptionconfig": {}}
2022/11/05 - 12:38:06		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:38:08	TX	http	GET	Appliance.Digest.TriggerX	{"digest": []}
2022/11/05 - 12:38:11		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:38:13	TX	http	GET	Appliance.Digest.TimerX	{"digest": []}
2022/11/05 - 12:38:16		auto	LOG	WARNING	MerossDevice(2206063169145051070148e1e99509db) error in async_http_request: Cannot connect to host 192.168.4.72:80 ssl:default [Connect call failed ('192.168.4.72', 80)]
2022/11/05 - 12:43:15	TX	http	GET	Appliance.System.All	{"all": {}}
